start_s,end_s,samples,gx_mean_dps,gy_mean_dps,gz_mean_dps,gx_drift_deg_per_min,gy_drift_deg_per_min,gz_drift_deg_per_min
0.0,60.0,12101,0.002745039996694486,-0.026216516816792004,0.0015824101313940968,0.14319206004783178,-1.6242559483266836,0.07039547341071867
60.0,120.0,12000,-0.00033051575000000153,-0.03168223891666667,-9.650300000000264e-05,-0.01556789377414427,-1.8956888377808006,0.010934499245055095
120.0,180.0,12000,0.030894028833333333,-0.024291896583333337,-0.002217472083333336,1.9565804711574872,-1.6886492627101397,-0.1573014520533541
180.0,240.0,12000,0.05146286841666667,0.021647262916666667,-0.0012612623333333362,3.1012448564364625,1.324299874428907,-0.06642948700478574
240.0,300.0,12000,0.04840602783333334,0.017919032083333335,-0.0018614375000000028,2.9003448220157755,1.0265471922361462,-0.0746961077972948
300.0,360.0,12000,0.04889939291666667,0.020197677083333334,-0.0016986795833333357,2.932990877143593,1.1310080268260765,-0.13257533183208994
360.0,420.0,12000,0.04629014475,0.018453092583333334,-0.0013528114166666695,2.793357827679968,1.1126260480840267,-0.1026390215861779
420.0,480.0,12000,0.04756170941666667,0.014399341999999999,-0.0017444553333333358,2.8458701576691143,0.8372254371579932,-0.09711117302147569
480.0,540.0,12000,0.044067450333333334,0.013819502916666669,-0.0015359176666666693,2.6357724203145763,0.7917678159356036,-0.08874327926515567
540.0,599.9949340009999,11999,0.04387263171930995,0.0075222213517793166,-0.002213110092507711,2.6579120504064018,0.4000906802053707,-0.13250530878177652
